naics,description,receipt_band_thousands_usd,firms,establishments,excel_row,source,source_sheet
444130,Hardware Stores,"11: 20,000-24,999",51,122,16496,CENSUS-SUSB-2022,US 6-digit NAICS
444130,Hardware Stores,"12: 25,000-29,999",24,54,16497,CENSUS-SUSB-2022,US 6-digit NAICS
444130,Hardware Stores,"13: 30,000-34,999",23,58,16498,CENSUS-SUSB-2022,US 6-digit NAICS
444130,Hardware Stores,"14: 35,000-39,999",20,86,16499,CENSUS-SUSB-2022,US 6-digit NAICS
444130,Hardware Stores,"15: 40,000-49,999",23,84,16500,CENSUS-SUSB-2022,US 6-digit NAICS
444130,Hardware Stores,"16: 50,000-74,999",34,163,16501,CENSUS-SUSB-2022,US 6-digit NAICS
444130,Hardware Stores,"17: 75,000-99,999",12,67,16502,CENSUS-SUSB-2022,US 6-digit NAICS
446120,"Cosmetics, Beauty Supplies, and Perfume Stores","09: 10,000-14,999",30,45,17059,CENSUS-SUSB-2022,US 6-digit NAICS
446120,"Cosmetics, Beauty Supplies, and Perfume Stores","10: 15,000-19,999",21,67,17060,CENSUS-SUSB-2022,US 6-digit NAICS
446120,"Cosmetics, Beauty Supplies, and Perfume Stores","11: 20,000-24,999",8,28,17061,CENSUS-SUSB-2022,US 6-digit NAICS
446120,"Cosmetics, Beauty Supplies, and Perfume Stores","12: 25,000-29,999",5,5,17062,CENSUS-SUSB-2022,US 6-digit NAICS
446120,"Cosmetics, Beauty Supplies, and Perfume Stores","13: 30,000-34,999",4,23,17063,CENSUS-SUSB-2022,US 6-digit NAICS
446120,"Cosmetics, Beauty Supplies, and Perfume Stores","14: 35,000-39,999",3,3,17064,CENSUS-SUSB-2022,US 6-digit NAICS
446120,"Cosmetics, Beauty Supplies, and Perfume Stores","15: 40,000-49,999",4,122,17065,CENSUS-SUSB-2022,US 6-digit NAICS
446120,"Cosmetics, Beauty Supplies, and Perfume Stores","16: 50,000-74,999",5,89,17066,CENSUS-SUSB-2022,US 6-digit NAICS
451110,Sporting Goods Stores,"09: 10,000-14,999",158,326,17680,CENSUS-SUSB-2022,US 6-digit NAICS
451110,Sporting Goods Stores,"10: 15,000-19,999",70,167,17681,CENSUS-SUSB-2022,US 6-digit NAICS
451110,Sporting Goods Stores,"11: 20,000-24,999",32,71,17682,CENSUS-SUSB-2022,US 6-digit NAICS
451110,Sporting Goods Stores,"12: 25,000-29,999",29,64,17683,CENSUS-SUSB-2022,US 6-digit NAICS
451110,Sporting Goods Stores,"13: 30,000-34,999",22,69,17684,CENSUS-SUSB-2022,US 6-digit NAICS
451110,Sporting Goods Stores,"14: 35,000-39,999",8,26,17685,CENSUS-SUSB-2022,US 6-digit NAICS
451110,Sporting Goods Stores,"15: 40,000-49,999",14,116,17686,CENSUS-SUSB-2022,US 6-digit NAICS
451110,Sporting Goods Stores,"16: 50,000-74,999",18,42,17687,CENSUS-SUSB-2022,US 6-digit NAICS
451110,Sporting Goods Stores,"17: 75,000-99,999",13,83,17688,CENSUS-SUSB-2022,US 6-digit NAICS
453910,Pet and Pet Supplies Stores,"09: 10,000-14,999",37,125,18142,CENSUS-SUSB-2022,US 6-digit NAICS
453910,Pet and Pet Supplies Stores,"10: 15,000-19,999",18,56,18143,CENSUS-SUSB-2022,US 6-digit NAICS
453910,Pet and Pet Supplies Stores,"11: 20,000-24,999",14,88,18144,CENSUS-SUSB-2022,US 6-digit NAICS
453910,Pet and Pet Supplies Stores,"12: 25,000-29,999",6,30,18145,CENSUS-SUSB-2022,US 6-digit NAICS
453910,Pet and Pet Supplies Stores,"14: 35,000-39,999",3,9,18146,CENSUS-SUSB-2022,US 6-digit NAICS
453910,Pet and Pet Supplies Stores,"15: 40,000-49,999",8,85,18147,CENSUS-SUSB-2022,US 6-digit NAICS
453910,Pet and Pet Supplies Stores,"16: 50,000-74,999",4,34,18148,CENSUS-SUSB-2022,US 6-digit NAICS
453910,Pet and Pet Supplies Stores,"17: 75,000-99,999",7,87,18149,CENSUS-SUSB-2022,US 6-digit NAICS
454110,Electronic Shopping and Mail-Order Houses,"09: 10,000-14,999",996,1031,18333,CENSUS-SUSB-2022,US 6-digit NAICS
454110,Electronic Shopping and Mail-Order Houses,"10: 15,000-19,999",544,573,18334,CENSUS-SUSB-2022,US 6-digit NAICS
454110,Electronic Shopping and Mail-Order Houses,"11: 20,000-24,999",340,358,18335,CENSUS-SUSB-2022,US 6-digit NAICS
454110,Electronic Shopping and Mail-Order Houses,"12: 25,000-29,999",218,240,18336,CENSUS-SUSB-2022,US 6-digit NAICS
454110,Electronic Shopping and Mail-Order Houses,"13: 30,000-34,999",166,181,18337,CENSUS-SUSB-2022,US 6-digit NAICS
454110,Electronic Shopping and Mail-Order Houses,"14: 35,000-39,999",143,152,18338,CENSUS-SUSB-2022,US 6-digit NAICS
454110,Electronic Shopping and Mail-Order Houses,"15: 40,000-49,999",170,180,18339,CENSUS-SUSB-2022,US 6-digit NAICS
454110,Electronic Shopping and Mail-Order Houses,"16: 50,000-74,999",264,308,18340,CENSUS-SUSB-2022,US 6-digit NAICS
454110,Electronic Shopping and Mail-Order Houses,"17: 75,000-99,999",134,189,18341,CENSUS-SUSB-2022,US 6-digit NAICS
